"The Company User and all related data will be deleted permanently.","O Utilizador da Empresa e todos os dados relacionados serão eliminados permanentemente."
"Attach to the Business Unit","Anexar à Unidade de Negócio"
"Business Unit name","Nome da Unidade de Negócio"
"Attach ""%customer%""","Anexar ""%customer%"""
"Customer has been assigned to business unit.","O Cliente foi atribuído à unidade de negócio."
"Company user deletion confirmation","Confirmação de eliminação do utilizador da empresa"
"Delete company user","Eliminar utilizador da empresa"
"Company user successfully removed.","Utilizador da empresa removido com sucesso."
